"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_1","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_2","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Cladosporiales","f__Cladosporiaceae","g__Cladosporium","s__herbarum"
"ASV_3","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans"
"ASV_4","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__alternata"
"ASV_5","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA
"ASV_6","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Cladosporiales","f__Cladosporiaceae","g__Cladosporium","s__herbarum"
"ASV_7","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_8","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium",NA
"ASV_9","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Erysiphaceae","g__Podosphaera","s__leucotricha"
"ASV_10","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Epicoccum",NA
"ASV_11","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA
"ASV_12","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_13","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Cladosporiales","f__Cladosporiaceae","g__Cladosporium","s__herbarum"
"ASV_14","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_15","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_16","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Cladosporiales","f__Cladosporiaceae","g__Cladosporium","s__herbarum"
"ASV_17","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae",NA,NA
"ASV_18","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Arthrocatena","s__tenebrosa"
"ASV_19","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_20","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__Pseudeurotiaceae_gen_Incertae_sedis",NA
"ASV_21","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_22","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_23","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae",NA,NA
"ASV_24","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Arthrocatena","s__tenebrosa"
"ASV_25","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_26","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Dothiora",NA
"ASV_27","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_28","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Erysiphaceae","g__Podosphaera",NA
"ASV_29","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_30","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__burgense"
"ASV_31","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Ascosphaerales","f__Ascosphaeraceae","g__Ascosphaera",NA
"ASV_32","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideales_fam_Incertae_sedis","g__Hormonema","s__macrosporum"
"ASV_33","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_34","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_35","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","s__armoraciae"
"ASV_36","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_37","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta",NA
"ASV_38","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Dothidotthiaceae","g__Dothidotthia",NA
"ASV_39","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Zygosaccharomyces","s__favi"
"ASV_40","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_41","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Debaryomyces","s__prosopidis"
"ASV_42","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_43","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina","s__sacchari"
"ASV_44","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__infectoria"
"ASV_45","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriales_fam_Incertae_sedis","g__Anthracina","s__ramosa"
"ASV_46","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Tilachlidiaceae","g__Tilachlidium","s__medietatis"
"ASV_47","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Ploettnerulaceae","g__Cadophora","s__rotunda"
"ASV_48","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta","s__boothii"
"ASV_49","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__burgense"
"ASV_50","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Neohendersoniaceae",NA,NA
"ASV_51","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__wieringae"
"ASV_52","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma","s__lonicerae"
"ASV_53","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Phaeobotryon","s__cupressi"
"ASV_54","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Amphisphaeriales","f__Sporocadaceae","g__Sporocadus",NA
"ASV_55","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_56","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Parmeliaceae","g__Parmelia",NA
"ASV_57","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Dothidotthiaceae",NA,NA
"ASV_58","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","s__macerans"
"ASV_59","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Neoascochyta","s__desmazieri"
"ASV_60","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_61","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Nothophoma","s__ngayawang"
"ASV_62","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__xenobiotica"
"ASV_63","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Pseudopithomyces","s__chartarum"
"ASV_64","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__globosa"
"ASV_65","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Dothiora",NA
"ASV_66","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Plagiostoma",NA
"ASV_67","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae",NA,NA
"ASV_68","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria",NA
"ASV_69","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_70","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_71","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Sclerostagonospora","s__rosae"
"ASV_72","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
