date_stained,date_checked,person_counting,sample_id,0,1-49,50-99,100,Total Counted,notes
11/30,12/7,Emily,1-1-a1,3,59,38,0,100,Used tap water instead of DI Water 😬
11/30,12/7,Emily ,1-1-a3,3,60,36,1,100,^^^
11/30,12/7,Emily,1-1-a5,26,56,18,0,100,^^^ Alot of pollen with wierd shapes. They all have yellow on them and are very spikey
11/30,12/7,Emily,1-1-a7,3,44,53,0,100,^^^ Same spicky thing
11/30,12/7,Emily,1-1-a9,5,29,65,1,100,^^^
11/30,12/7,Emily,1-1-a11,3,19,76,2,100,^^^
11/30,12/7,Emily,1-1-c1,3,22,75,0,100,^^^
11/30,12/7,Emily,1-1-c3,7,53,38,2,100,^^^ Same spicky thing
12/7,12/8,Emily,1-1-c5,0,25,75,0,100,
12/7,12/8,Emily ,1-1-c7,2,57,41,0,100,
12/7,12/10,Emily,1-1-c9,0,67,33,0,100,
12/7,12/10,Emily,1-1-c11,9,59,32,0,100,
12/7,12/10,Emily,1-1-e1,12,41,47,0,100,
12/7,12/10,Emily,1-1-e3,2,19,79,0,100,
12/7,12/10,Emily,1-1-e5,5,48,44,3,100,
12/7,12/10,Emily,1-1-e7,2,37,61,0,100,
,12/10,Emily,1-1-e9,24,39,37,0,100,"a lot of the 0 was dandilion pollen, which is hard to read"
12/7,NA,,1-1-e11,,,,,0,
12/8,12/10,Emily,1-1-g1,5,70,25,0,100,
12/8,12/10,Emily,1-1-g3,1,67,32,0,100,
12/8,12/10,Emily,1-1-g5,17,52,31,0,100,
12/8,12/10,Emily,1-1-g7,9,51,40,0,100,"had stopped spinning and then stopped moving, was noted as dead. never finished cocoon but just metamorphosized. seems dead now?"
,NA,,1-1-g9,,,,,0,no frass
,NA,,1-1-g11,,,,,0,
12/7,12/10,Emily,1-2-a1,4,38,57,1,100,
12/7,12/10,Emily ,1-2-a3,19,38,43,0,100,
12/8,12/10,Emily,1-2-a5,9,45,46,,100,
12/8,12/10,Emily,1-2-a7,1,66,31,2,100,
12/8,12/10,Emily ,1-2-a9,0,73,27,0,100,
12/8,12/10,Emily,1-2-a11,6,65,29,,100,
,NA,,1-2-c1,,,,,0,no frass
12/8,12/10,Emily,1-2-c3,1,41,58,0,100,
12/8,12/12,Emily,1-2-c5,3,16,81,0,100,
12/8,12/12,Emily,1-2-c7,4,67,27,2,100,
12/8,12/12,Emily,1-2-c9,5,39,56,0,100,
12/8,12/12,Emily,1-2-c11,7,23,68,2,100,
12/8,12/12,Emily,1-2-e1,82,17,1,0,100,
12/8,12/12,Emily,1-2-e3,2,78,20,0,100,
12/8,12/12,Emily,1-2-e5,8,63,29,0,100,
12/8,12/12,Emily,1-2-e7,7,49,44,0,100,
12/8,12/12,Emily,1-2-e9,3,46,50,1,100,
12/8,12/12,Emily,1-2-e11,2,47,45,6,100,
12/8,12/12,Emily,1-2-g1,0,78,22,,100,
12/8,12/12,Emily,1-2-g3,58,24,18,0,100,
12/8,12/12,Emily,1-2-g5,14,38,47,1,100,
12/8,12/12,Emily,1-2-g7,38,58,3,1,100,
12/8,12/12,Emily,1-2-g9,1,85,14,0,100,
12/8,12/12,Emily,1-2-g11,10,44,46,0,100,
12/8,12/12,Emily,1-3-a1,14,41,39,6,100,
