	T01	T02	T03	T04	T05	T06	T07	T08	T09	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30
ASV1	25285	38789	2306	1507	49959	51482	47868	2061	2505	0	4248	4935	0	0	8317	9495	5147	0	0	45	0	0	0	0	0	0	0	0	0	0
ASV2	14177	12094	3135	3540	22919	19845	4590	8265	4952	7076	3755	6146	3458	2287	11505	11987	5758	1391	4440	960	2936	4231	5948	942	4563	6390	6959	33319	13092	0
ASV3	29	397	8953	21349	0	118	0	11284	11308	0	38	182	5669	17714	200	0	221	8576	8842	256	871	1138	4407	4285	2031	2266	4672	7877	3660	79
ASV4	22367	8156	3076	1159	5745	1390	0	381	1905	0	1583	4297	2737	1998	1961	5177	2155	148	938	0	1987	1672	3250	312	10219	7318	9782	11106	7133	0
ASV5	3860	9114	3821	3908	5714	496	226	7740	955	0	1793	1243	3185	6041	13380	16200	3804	873	86	209	458	1604	3347	2836	749	0	851	5681	13448	0
ASV6	2328	386	563	831	958	1368	331	2236	1930	2278	770	1197	687	1247	4470	3927	1413	317	681	276	1773	1488	330	145	12213	8553	2268	3610	2379	186
ASV7	0	0	15816	12321	0	0	0	16446	14486	0	155	342	66	155	144	181	107	28	117	0	0	0	0	0	17	0	34	0	0	0
ASV8	0	0	1246	158	0	0	0	513	300	0	0	209	57	270	0	0	0	35053	282	0	0	126	0	62	0	927	140	0	40	0
ASV9	974	54	981	1836	0	857	273	3846	1291	0	40	758	12433	129	224	0	268	2947	8481	1	72	119	242	115	549	115	887	624	861	0
ASV10	0	14261	0	0	0	0	0	56	0	0	0	0	27	121	0	0	2	0	0	0	0	1	0	5399	4470	84	0	3279	2246	0
ASV11	378	316	0	60	504	0	292	0	178	0	5609	2723	621	97	0	828	26	105	115	314	348	674	1750	368	2459	281	3190	1643	6336	0
ASV12	159	1313	671	209	659	602	674	198	237	4120	225	133	48	168	770	746	503	93	39	2230	0	172	400	88	885	1011	321	675	887	8302
ASV13	0	0	0	1216	0	790	0	0	0	0	0	2249	980	1827	929	662	0	305	2416	0	854	0	2713	0	1641	1595	3259	1730	3230	0
ASV14	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	15	35	0	21	50	4189	2105	15	84	65	10738	8126	0
ASV15	2389	3004	123	129	4166	4517	4052	125	165	0	339	401	0	0	683	804	360	0	0	12	0	0	0	0	0	0	0	0	0	1
ASV16	0	220	0	261	277	253	0	0	128	0	736	2435	130	122	1871	2415	1332	93	232	642	898	964	64	14	851	2272	1931	243	0	0
ASV17	0	169	0	9330	0	0	0	0	0	0	46	473	298	208	412	388	59	154	45	47	94	357	81	29	3374	1273	165	433	140	0
ASV18	0	0	0	12855	0	90	0	0	0	0	219	280	427	150	171	69	222	136	72	0	179	218	56	60	101	228	1415	506	0	0
ASV19	0	0	0	0	0	0	0	16713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV20	0	0	0	0	0	0	0	0	0	0	0	79	406	15	0	0	4	115	8	0	228	529	0	0	14297	81	92	0	0	0
ASV21	657	321	656	116	535	113	639	121	403	1358	146	257	119	300	517	1190	309	23	30	1939	121	57	274	18	100	635	401	202	427	1563
ASV22	0	0	3281	2509	0	0	22	3181	3230	0	0	0	0	0	11	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV23	11611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV24	0	0	0	11274	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	17	0	0	0	0	0	0	0	0	0
ASV25	0	0	0	0	0	0	0	0	0	0	0	0	0	120	77	0	0	18	31	0	126	44	747	104	1912	6716	93	106	1357	0
ASV26	16	0	365	482	0	126	112	452	475	0	470	353	589	196	726	1225	509	55	229	292	307	476	313	77	2666	384	483	22	26	0
ASV27	0	0	2626	2230	0	0	0	3010	2655	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV28	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	46	0	52	115	0	1373	2783	0	95	1421	1628	1027	568	1036	0
ASV29	1035	411	558	215	0	458	0	356	528	466	76	106	34	27	260	1402	0	0	53	0	130	174	332	76	186	208	1174	251	282	1344
ASV30	0	0	218	596	0	0	0	600	1836	0	0	0	547	1460	0	0	0	1510	2557	0	0	0	179	106	0	0	0	0	524	0
ASV31	994	1186	0	0	997	1247	57	0	0	0	386	464	19	88	1709	1763	881	0	0	0	38	59	0	0	17	0	103	0	0	0
ASV32	0	0	839	2658	0	0	0	561	869	0	0	0	180	1101	0	0	0	743	185	0	0	0	219	110	0	0	0	2091	290	0
ASV33	1169	2042	0	0	2025	1565	2321	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV34	0	0	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	11	0	0	0	1315	1101	0	0	0	3341	3338	0
ASV35	1	0	0	9	0	1130	0	0	593	0	248	588	0	0	434	897	0	0	55	0	481	1118	0	0	654	859	1817	0	0	0
ASV36	0	0	2105	1833	0	0	0	2169	2300	0	12	33	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV37	0	0	0	424	0	0	0	0	47	0	0	0	0	10	0	0	0	7835	81	0	0	0	0	0	0	0	0	0	0	0
ASV38	0	0	0	0	0	0	0	0	0	0	0	0	627	1887	0	0	0	342	485	0	134	0	0	0	0	0	0	0	4721	0
ASV39	0	0	4367	2922	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	732	0	0
ASV40	828	0	0	826	0	0	276	0	0	0	0	0	0	0	0	20	0	10	0	0	327	0	1054	18	0	29	0	1635	2866	0
ASV41	0	0	444	1293	0	0	0	852	696	0	0	0	227	1455	0	0	0	1436	790	0	0	0	15	0	0	0	0	303	266	0
ASV42	0	0	0	9	0	0	0	0	1	0	453	363	794	2750	533	327	131	626	1304	51	10	1	0	0	34	33	23	0	0	0
ASV43	0	0	332	401	0	0	0	551	870	0	654	731	68	0	246	480	456	0	30	2032	111	29	0	7	179	0	142	0	0	0
ASV44	0	0	0	0	0	626	0	0	94	0	221	0	74	596	288	2333	0	7	4	0	185	299	33	5	0	0	1959	0	532	0
ASV45	0	0	0	0	0	0	0	6463	53	0	0	0	567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV46	0	0	0	58	0	0	0	118	0	0	0	0	24	125	0	0	0	6661	72	0	0	0	0	19	0	0	0	0	0	0
ASV47	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	6896	8	0	0	0	0	0	0	0	0	0	0	0
ASV48	0	0	987	1221	0	0	0	879	911	0	0	0	191	616	0	0	0	928	63	0	0	0	53	88	0	0	80	725	167	0
ASV49	0	0	1486	506	0	157	0	278	501	0	38	35	248	847	0	157	0	570	1225	0	0	0	193	53	0	36	136	132	135	0
ASV50	0	0	0	0	1	4687	0	0	0	0	0	0	0	0	0	0	1381	0	0	0	0	0	0	200	0	0	0	0	0	0
ASV51	0	0	0	0	0	0	179	0	0	0	65	23	551	140	106	0	0	210	83	0	252	561	249	71	1563	457	577	961	90	0
ASV52	60	0	0	0	0	0	0	0	0	0	85	263	11	0	0	181	118	37	0	0	980	1097	0	0	805	1058	883	48	256	0
ASV53	0	0	0	0	0	0	0	0	0	0	0	1076	0	0	2293	1028	0	9	524	0	0	0	0	25	0	0	0	0	735	0
ASV54	0	0	0	0	0	0	0	0	0	0	0	0	1959	140	0	620	52	495	936	0	0	0	425	12	0	0	0	795	253	0
ASV55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1044	900	1	15	748	1140	812	0	0	1022
ASV56	0	0	0	0	0	0	0	0	0	0	0	825	62	36	0	2839	0	0	77	0	606	0	0	0	0	625	0	0	475	0
ASV57	0	220	0	0	0	0	0	178	70	0	0	0	17	0	0	0	31	46	54	0	196	98	141	21	513	641	543	409	1865	0
ASV58	0	0	0	0	0	0	0	0	0	0	0	0	1708	2883	0	0	0	83	302	0	0	0	0	37	0	0	0	0	0	0
ASV59	0	0	0	162	0	0	0	226	210	0	0	0	0	30	0	0	0	12	7	0	32	92	91	0	0	0	2906	1003	157	0
ASV60	0	1641	0	0	0	0	0	0	0	0	51	543	111	25	88	352	77	0	8	0	324	301	0	0	396	268	537	0	0	0
ASV61	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	175	0	317	205	405	70	55	0	957	349	1915	0
ASV62	0	0	0	0	0	0	0	4052	146	0	0	0	21	0	0	0	0	17	15	0	0	0	0	34	0	0	0	0	63	0
ASV63	0	0	0	37	65	0	0	0	0	0	0	0	0	0	0	4132	0	0	0	0	0	0	0	0	0	92	0	0	0	0
ASV64	0	0	697	305	0	0	856	345	250	0	0	0	56	0	0	0	0	141	5	0	0	0	18	27	0	0	0	1371	132	0
ASV65	238	124	0	0	0	0	0	0	0	0	41	0	20	20	0	0	0	0	0	46	24	0	0	9	3442	192	0	0	0	0
ASV66	0	0	207	299	0	148	0	595	430	0	419	437	48	0	500	579	191	0	0	29	38	48	0	0	0	20	0	0	0	0
ASV67	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	46	0	0	22	41	0	0	1552	0	1064	0	1229	0
ASV68	0	0	0	0	0	0	0	3644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	4	0	0	0	0	0	0
ASV69	0	0	0	0	0	0	0	0	0	0	3843	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0
ASV70	453	490	0	0	576	494	521	0	0	0	135	257	0	0	428	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	0	0	0	0	0	261	384	0	9	953	99	1293	119	131	0
ASV72	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	1359	0	0	0	0	0	0	33	11	0	344	288	0	1408	0
ASV73	0	0	0	0	0	0	0	0	0	0	515	0	962	0	0	1323	0	0	0	0	0	20	0	0	0	0	130	0	703	0
ASV74	0	0	970	633	0	0	0	1037	967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV75	0	0	347	179	0	0	0	277	273	0	335	393	17	36	424	422	267	16	40	63	46	21	0	0	148	152	138	0	0	0
ASV76	0	0	748	102	0	0	0	793	173	0	0	0	55	0	0	0	0	233	53	0	0	0	272	20	0	0	0	963	146	0
ASV77	363	702	0	0	798	690	872	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
