"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"NC",2,2,1,2,1,1
"T01",147056,128915,128632,128494,123496,123235
"T02",142024,124291,123957,124057,119336,118926
"T03",108620,96510,96140,96189,92103,91612
"T04",158530,141024,140539,140477,136451,135314
"T05",149548,129818,129620,129581,125516,125323
"T06",140846,121583,121248,121254,116379,116148
"T07",103265,89174,88777,88848,82964,82785
"T08",160542,142081,141760,141715,137226,136468
"T09",105247,94447,94152,94108,90442,90165
"T10",33651,30230,30217,30211,29815,29626
"T11",52995,47768,47443,47510,46042,46027
"T12",92453,77892,77628,77636,67657,67613
"T13",101042,73790,73473,73294,69062,68597
"T14",82456,74831,74348,74374,72455,71982
"T15",108697,96630,96211,96233,93607,93343
"T16",133726,118948,118615,118577,115204,114733
"T17",55172,49629,49460,49377,48271,48170
"T18",114411,101102,100580,100592,99425,97954
"T19",59457,54151,53651,53717,52166,51926
"T20",29411,26732,26515,26477,25884,25816
"T21",53818,48402,47920,48029,45737,45594
"T22",68663,61873,61526,61420,59602,59423
"T23",53515,48709,48446,48452,47364,47275
"T24",28540,26336,26086,26091,25523,25316
"T25",155325,139051,138698,138625,134930,134822
"T26",135020,119246,118743,118800,113139,112532
"T27",142596,125625,125287,125286,121883,120489
"T28",149375,132258,131874,131769,129336,128983
"T29",138169,123800,123183,123234,121145,120751
"T30",40976,36651,36564,36512,35819,34724
